env.reward_type,env.set_additional_goal,env,algo,loss_kl,loss_ent,loss_pol_surr,EpLenMean,ev_tdlam_before,EpRewMean,EpThisIter,EpisodesSoFar,loss_pol_entpen,TimeElapsed,loss_vf_loss,TimestepsSoFar,suc_percent,success percentage,perf_flag,best_suc_percent
distance,angle,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,0.012283433,1.1820834,-0.03372413,4.9,0.28029853105545044,-376.8035246142353,200,3515,0.0,826.4353206157684,242.3695,24576,,,,
,,,,0.020604445,1.1896627,-0.02782173,5.16,0.12301933765411377,-385.42598978807473,192,3707,0.0,862.391321182251,1438.2173,25597,,,,
,,,,0.01126012,1.1971339,-0.03210868,5.56,0.3569142818450928,-381.92165392476016,180,3887,0.0,896.92720079422,308.28952,26620,,,,
,,,,0.012290584,1.1981825,-0.030892972,8.49,0.15868014097213745,-408.8764476236864,133,4020,0.0,925.5678009986877,1518.603,27645,,,,
,,,,0.01475931,1.1989644,-0.022931287,4.9,0.08846861124038696,-383.2784151397721,195,4215,0.0,961.4141683578491,1658.692,28671,,,,
,,,,0.016158063,1.2079161,-0.029553013,4.95,0.447986364364624,-376.8906917973722,207,4422,0.0,997.2992978096008,134.08101,29695,,,,
,,,,0.010293514,1.1940365,-0.02072879,5.04,-0.0971224308013916,-391.07137032603407,216,4638,0.0,1034.7655472755432,2252.1643,30720,,,,
,,,,,,,,,,,,,,,,0.0,0.0,False,0.0008460236886632825
,,,,,,,4.5,,-373.43324114794785,112,112,,18.73079013824463,,512,,0.0,,
,,,,,,,4.79,,-375.4004773957134,107,219,,36.71776986122131,,1020,,0.0,,
,,,,,,,5.04,,-377.45256088921144,101,320,,54.054845571517944,,1535,,0.0,,
,,,,,,,4.39,,-372.7398549454865,112,432,,73.0333046913147,,2043,,0.0,,
,,,,,,,4.75,,-382.06809163009825,109,541,,91.30910849571228,,2560,,0.0,,
