algo,env.reward_type,env,env.set_additional_goal,EpRewMean,loss_pol_entpen,EpLenMean,loss_pol_surr,TimestepsSoFar,EpThisIter,ev_tdlam_before,TimeElapsed,loss_vf_loss,loss_kl,EpisodesSoFar,loss_ent,perf_flag,suc_percent,best_suc_percent,success percentage
ppo,distance_lambda_0.1,PlanarQuadEnv-v0,angle,,,,,,,,,,,,,,,,
,,,,-422.1092486475308,0.0,10.88,-0.029490534,2047,91,0.0002079606056213379,61.91123867034912,25148.71,0.01428855,161,1.2173107,,,,
,,,,-433.6556860107324,0.0,11.05,-0.030037783,3052,87,7.092952728271484e-06,95.64311027526855,32565.113,0.013218452,248,1.2280031,,,,
,,,,-454.95900650869976,0.0,11.78,-0.034120012,4094,90,0.00011169910430908203,129.97422647476196,42184.918,0.009149112,338,1.2071638,,,,
,,,,-408.81302326697363,0.0,9.9,-0.02481064,5107,101,2.3245811462402344e-06,164.23108625411987,36754.18,0.0143294,439,1.2119066,,,,
,,,,-424.71103908341394,0.0,11.96,-0.030493738,6126,85,-1.823902130126953e-05,196.8740484714508,18273.61,0.017720625,524,1.1981542,,,,
,,,,-430.936305914772,0.0,11.32,-0.03773261,7151,91,-0.07733666896820068,230.52607774734497,25093.121,0.0209407,615,1.22176,,,,
,,,,-422.147423480081,0.0,9.21,-0.031351667,8182,106,0.00012063980102539062,265.60152101516724,29325.348,0.018580861,721,1.2213186,,,,
,,,,-436.3266930194131,0.0,12.04,-0.030480977,9213,88,0.00012665987014770508,298.06426429748535,23490.9,0.022471352,809,1.1934531,,,,
,,,,-467.4275359143853,0.0,14.22,-0.030369092,10239,66,1.6450881958007812e-05,324.87687277793884,33079.43,0.014365057,875,1.2075241,,,,
,,,,-417.4537858348116,0.0,9.67,-0.024954682,11262,104,9.298324584960938e-06,358.5298705101013,22256.93,0.009020854,979,1.2169608,,,,
,,,,-418.1006253404258,0.0,9.12,-0.028857253,12283,108,2.4199485778808594e-05,392.82756090164185,20508.904,0.011641247,1087,1.2072408,,,,
,,,,-419.3598147268356,0.0,10.45,-0.031841587,13296,95,-7.987022399902344e-06,425.730637550354,16251.815,0.016085878,1182,1.2158641,,,,
,,,,-453.0274318933764,0.0,10.88,-0.03433234,14335,93,1.1861324310302734e-05,458.88711762428284,38287.55,0.013979383,1275,1.2268322,,,,
,,,,-413.62967131411256,0.0,9.01,-0.025337078,15353,110,-9.417533874511719e-06,493.10568594932556,19888.477,0.025371645,1385,1.2421181,,,,
,,,,-405.33534046390605,0.0,8.03,-0.026074586,16380,117,1.3828277587890625e-05,526.8976602554321,17492.422,0.012405017,1502,1.2682164,,,,
,,,,-414.545367874316,0.0,9.64,-0.023611458,17403,108,4.827976226806641e-06,560.072057723999,17346.275,0.033504542,1610,1.2681034,,,,
,,,,-405.18104059860286,0.0,7.85,-0.028273506,18425,132,6.67572021484375e-06,595.3191084861755,19356.17,0.013769917,1742,1.2716625,,,,
,,,,-430.31360108425474,0.0,10.73,-0.027331911,19446,94,4.5299530029296875e-06,623.5836899280548,22322.93,0.011019886,1836,1.2743857,,,,
,,,,-421.35111420744624,0.0,9.57,-0.040505815,20472,112,1.4007091522216797e-05,656.5405745506287,17624.848,0.013121402,1948,1.2479494,,,,
,,,,-402.33576286259836,0.0,7.63,-0.024897313,21500,144,1.3113021850585938e-06,692.100212097168,15605.455,0.014879633,2092,1.2562693,,,,
,,,,-384.73906160788994,0.0,6.06,-0.034515806,22521,146,-0.0004590749740600586,728.045401096344,9322.736,0.014181274,2238,1.2666289,,,,
,,,,-416.50807230782976,0.0,9.23,-0.02894412,23535,114,1.1920928955078125e-06,760.6865124702454,15998.496,0.019558445,2352,1.2720183,,,,
,,,,-392.5861522861651,0.0,6.66,-0.025290648,24569,160,-1.1324882507324219e-05,796.773806810379,13692.971,0.0269357,2512,1.2677057,,,,
,,,,-384.28516780134464,0.0,5.98,-0.029341053,25592,164,-0.0003789663314819336,832.3559257984161,8129.5435,0.016401041,2676,1.2704933,,,,
,,,,-391.90050062417066,0.0,7.13,-0.019891597,26617,154,-0.00017273426055908203,867.213639497757,8594.946,0.013747009,2830,1.2635548,,,,
,,,,-380.69591172909537,0.0,6.05,-0.023252789,27640,166,-9.72747802734375e-05,901.2977774143219,7497.0073,0.011456377,2996,1.2163961,,,,
,,,,-393.83482134201836,0.0,6.9,-0.017251879,28668,134,-8.07046890258789e-05,930.8888218402863,7757.4707,0.031210205,3130,1.2036984,,,,
,,,,-392.9684560487178,0.0,5.85,-0.023791108,29692,164,-2.658367156982422e-05,966.0724649429321,10006.176,0.021816885,3294,1.2030144,,,,
,,,,-375.3612675155815,0.0,4.81,-0.02693581,30718,204,-0.0026569366455078125,1004.772867679596,6080.3706,0.0078155715,3498,1.1982727,,,,
,,,,,,,,,,,,,,,,False,0.0002858776443682104,0.0002450379808870375,0.0002858776443682104
,,,,-383.3497086247516,,5.930232558139535,,510,86,,17.29549264907837,,,86,,,,,0.0
,,,,-375.69689321311506,,4.81,,1020,104,,36.415379762649536,,,190,,,,,0.0
,,,,-380.6214922543151,,5.54,,1532,92,,54.850661516189575,,,282,,,,,0.0
