algo,env.set_additional_goal,env,env.reward_type,loss_kl,TimestepsSoFar,loss_pol_surr,EpisodesSoFar,loss_vf_loss,loss_pol_entpen,EpThisIter,TimeElapsed,loss_ent,ev_tdlam_before,EpRewMean,EpLenMean,best_suc_percent,suc_percent,perf_flag,success percentage
ppo,angle,PlanarQuadEnv-v0,distance_lambda_1,,,,,,,,,,,,,,,,
,,,,0.018243384,17402,-0.0442492,1100,192306.97,0.0,64,543.8172919750214,0.3028772,0.17250680923461914,380.87792781993414,15.74,,,,
,,,,0.012797679,18429,-0.038673006,1166,242466.08,0.0,66,576.6044578552246,0.29470915,0.08655577898025513,207.0212805386636,15.07,,,,
,,,,0.017227188,19437,-0.03875325,1224,216358.83,0.0,58,605.5830419063568,0.29226166,0.06843489408493042,364.9355466626203,16.52,,,,
,,,,0.019250516,20469,-0.05067762,1281,223913.39,0.0,57,635.7267394065857,0.27233893,0.07062649726867676,457.7778923280894,18.07,,,,
,,,,0.015771568,21504,-0.036709454,1342,233740.89,0.0,61,667.596132516861,0.27156663,0.08884823322296143,437.07269934580023,17.17,,,,
,,,,0.012842509,22511,-0.040418148,1414,199713.19,0.0,72,702.547521352768,0.25845867,0.15014296770095825,299.83202944402825,15.25,,,,
,,,,0.02674457,23540,-0.045081012,1483,227886.22,0.0,69,735.970686674118,0.25764394,0.17398184537887573,226.19120840855277,14.02,,,,
,,,,0.015523676,24569,-0.042447403,1547,194875.75,0.0,64,768.523647069931,0.2288217,0.15138208866119385,425.14581036251883,15.72,,,,
,,,,0.019479461,25587,-0.039107546,1607,196097.0,0.0,60,800.6380286216736,0.22695446,0.07118487358093262,579.5230860576102,16.45,,,,
,,,,0.018832117,26623,-0.036583766,1669,207157.25,0.0,62,832.4891254901886,0.2169551,0.07749319076538086,533.7809167014133,16.83,,,,
,,,,0.027981339,27647,-0.0430576,1733,191658.3,0.0,64,864.9269111156464,0.21045566,0.14828121662139893,500.60531731734477,15.77,,,,
,,,,0.01664505,28670,-0.03893725,1798,185809.61,0.0,65,897.2712004184723,0.21497211,0.17165160179138184,509.7206059902856,16.02,,,,
,,,,0.024488322,29685,-0.038880873,1856,188813.86,0.0,58,925.1760375499725,0.20488414,0.11826783418655396,473.0551371392262,16.81,,,,
,,,,0.02126646,30704,-0.04435019,1913,186311.27,0.0,57,956.3387644290924,0.20625344,0.2160651683807373,513.5263818531504,17.1,,,,
,,,,,,,,,,,,,,,,0.522410358565737,0.6440146366962886,False,0.6440146366962886
,,,,,497,,34,,,34,17.004910230636597,,,389.8791268850854,14.617647058823529,,,,0.6470588235294118
,,,,,1014,,63,,,29,32.95583367347717,,,595.8644628699979,16.095238095238095,,,,0.7936507936507936
,,,,,1527,,91,,,28,48.63399362564087,,,646.1281450646195,16.78021978021978,,,,0.8351648351648352
,,,,,2029,,126,,,35,65.80144906044006,,,593.9171386399769,16.35,,,,0.7777777777777778
,,,,,2556,,155,,,29,80.94746160507202,,,627.3961691897321,16.89,,,,0.8
,,,,0.0193474,1009,-0.040261127,71,192933.05,0.0,71,34.25257444381714,0.1926105,0.1538771390914917,251.9748306353489,14.211267605633802,,,,
,,,,0.018765582,2043,-0.045187443,132,187024.77,0.0,61,66.31286454200745,0.20025897,0.21071290969848633,418.70920020630115,15.86,,,,
,,,,0.01592409,3055,-0.042232372,192,167531.45,0.0,60,98.02646589279175,0.20383587,0.18499910831451416,505.20969587886924,16.72,,,,
,,,,0.02172756,4080,-0.043778114,257,190740.38,0.0,65,131.43268871307373,0.19735694,0.11260044574737549,502.60185090207466,16.43,,,,
,,,,0.025455983,5116,-0.039147053,314,171062.0,0.0,57,161.5723521709442,0.1780951,0.05906420946121216,529.2080593040275,16.82,,,,
,,,,0.032318264,6142,-0.047000635,371,189143.44,0.0,57,189.18358945846558,0.15873432,0.09690475463867188,595.1699838634398,18.05,,,,
,,,,0.015526122,7167,-0.041070424,433,215551.48,0.0,62,221.6110644340515,0.16912222,0.06037092208862305,453.5575572690653,16.46,,,,
,,,,0.018442666,8191,-0.051874258,495,178035.73,0.0,62,254.09185695648193,0.16095772,0.1584375500679016,488.6997363833995,16.54,,,,
,,,,0.021020006,9202,-0.03544532,555,172100.77,0.0,60,286.8239221572876,0.16508985,0.07855796813964844,553.8124371627833,16.4,,,,
,,,,0.024148198,10231,-0.042563826,616,176708.23,0.0,61,318.84994530677795,0.15524864,0.11526387929916382,601.3341163169732,17.0,,,,
,,,,0.92283905,11249,-0.00414986,680,158580.84,0.0,64,351.7308831214905,0.14717865,0.2796494960784912,542.8801030845273,16.11,,,,
,,,,0.015252805,12274,-0.04615906,748,244066.44,0.0,68,385.036616563797,0.14036119,0.10686749219894409,387.2447059057784,15.53,,,,
,,,,0.017030962,13304,-0.0404422,812,207838.42,0.0,64,417.9023563861847,0.15029585,0.13872641324996948,435.6097165108857,16.19,,,,
,,,,0.018758927,14336,-0.03449194,874,180496.9,0.0,62,449.22635650634766,0.15296996,0.0348699688911438,515.8237541222528,16.48,,,,
,,,,0.020234343,15344,-0.02731029,928,157340.34,0.0,54,475.46840381622314,0.15003836,0.018592000007629395,586.3066146711044,17.47,,,,
,,,,0.015322758,16376,-0.034568433,991,190982.73,0.0,63,507.8120927810669,0.14206564,0.0867992639541626,561.8392156611666,17.3,,,,
,,,,0.020439923,17395,-0.042781044,1055,215668.53,0.0,64,539.9723579883575,0.14855611,0.07255595922470093,458.34112357483014,16.14,,,,
,,,,0.018216498,18425,-0.048783056,1116,183820.45,0.0,61,571.8671770095825,0.14665127,0.13205838203430176,504.8138870507905,16.34,,,,
,,,,0.016385345,19445,-0.043579713,1184,174892.19,0.0,68,605.575311422348,0.13525605,0.14945000410079956,518.606740685222,15.73,,,,
,,,,0.013314555,20470,-0.039109215,1251,221088.4,0.0,67,638.0731348991394,0.13204777,0.07549577951431274,373.7653242453055,15.12,,,,
,,,,0.019160906,21492,-0.04816614,1315,209422.88,0.0,64,671.5333511829376,0.120628595,0.09647709131240845,419.36941313414013,15.34,,,,
