env.set_additional_goal,env.reward_type,env,algo,loss_pol_surr,EpLenMean,TimeElapsed,loss_ent,EpThisIter,loss_kl,loss_vf_loss,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen,suc_percent,best_suc_percent,perf_flag,success percentage
angle,ttr,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,,26.54385964912281,33.519606828689575,,18,,,854.5029546157167,1513,57,,,,,,0.9298245614035088
,,,,,26.38961038961039,44.71197867393494,,20,,,845.2802817659579,2032,77,,,,,,0.922077922077922
,,,,,26.091836734693878,55.888588666915894,,21,,,827.9639957243436,2557,98,,,,,,0.9081632653061225
,,,,-0.032122932,26.736842105263158,22.565473318099976,0.8708764,38,0.011978139,204780.69,654.8868793684119,1016,38,0.008539855480194092,0.0,,,,
,,,,-0.027577352,26.776315789473685,45.02717113494873,0.85757995,38,0.017920366,206003.44,764.8134157847187,2035,76,0.02084362506866455,0.0,,,,
,,,,-0.04205589,26.27,68.54072999954224,0.8395156,41,0.014101171,193603.72,712.4236491373892,3066,117,0.041189730167388916,0.0,,,,
,,,,-0.026452769,25.92,91.04163217544556,0.83679605,38,0.012452466,189625.47,676.218957526834,4075,155,0.019358158111572266,0.0,,,,
,,,,-0.033298574,26.6,113.33050298690796,0.8370133,37,0.016033446,194960.1,705.1292962347975,5106,192,0.014719188213348389,0.0,,,,
,,,,-0.037106115,26.07,135.8910927772522,0.8270168,42,0.0152316205,182699.25,683.1174588548284,6132,234,0.08083325624465942,0.0,,,,
,,,,-0.023460181,25.15,158.4182584285736,0.8231118,41,0.016801825,192568.22,634.7833897247143,7148,275,0.10268658399581909,0.0,,,,
,,,,-0.027242925,25.63,181.070378780365,0.8206394,39,0.017711619,198579.3,711.2069986298801,8173,314,0.05887860059738159,0.0,,,,
,,,,-0.031029953,26.27,203.49405813217163,0.8084314,38,0.010001219,173299.12,736.6130526718667,9203,352,0.060823798179626465,0.0,,,,
,,,,-0.034747764,25.86,225.86864638328552,0.7999677,41,0.011623454,181087.42,639.7366515115988,10214,393,0.044608116149902344,0.0,,,,
,,,,-0.038455255,26.72,248.32832384109497,0.7915446,37,0.018677864,171721.08,644.5870473051579,11251,430,0.010420083999633789,0.0,,,,
,,,,-0.03375409,26.56,270.96539402008057,0.7725915,38,0.0138784405,186344.98,684.7749950657812,12264,468,0.04288285970687866,0.0,,,,
,,,,-0.03474823,26.81,293.4420700073242,0.7600438,40,0.015254762,176682.23,704.9581903360043,13310,508,0.06221407651901245,0.0,,,,
,,,,-0.03470284,26.19,315.90691661834717,0.74275905,39,0.011964204,190520.89,706.7620999847892,14335,547,0.012764036655426025,0.0,,,,
,,,,-0.03589007,26.47,338.1990420818329,0.7340196,38,0.012932611,184274.56,786.7408450633451,15346,585,0.04345989227294922,0.0,,,,
,,,,-0.035658464,26.62,361.5077488422394,0.7110408,39,0.008630609,177544.84,766.1006838228174,16382,624,0.09545046091079712,0.0,,,,
,,,,-0.030477304,26.38,384.15478777885437,0.70408976,39,0.013632156,194656.42,753.5163230415019,17407,663,0.018542826175689697,0.0,,,,
,,,,-0.034817684,26.78,406.4501585960388,0.7032815,37,0.015250321,178682.0,823.4345801187578,18419,700,0.0107041597366333,0.0,,,,
,,,,-0.031733718,26.61,429.1319818496704,0.708765,39,0.012534401,180438.97,803.9174856630813,19443,739,0.04612767696380615,0.0,,,,
,,,,-0.029758746,26.23,451.72576689720154,0.725234,40,0.01784467,177600.03,771.0431100725102,20465,779,0.061312854290008545,0.0,,,,
